IATA,ciudad
MTY,monterrey
TLC,toluca
MEX,ciudad de mexico
TAM,tamaulipas
GDL,guadalajara
CJS,cudad juarez
CUN,cancun
TIJ,tijuana
HMO,Hermosillo
CME,ciudad del carmen
MID,merida
CTM,chetumal
VER,veracruz
OAX,oaxaca
HUX,huatulco
ZIH,zihuatanejo
PVR,puerto vallarta
LIM,lima
HAV,la habana
BOG,bogota
MIA,miami
LAX,los angeles
JFK,nueva york
TRC,torreon
PXM,puerto escondido
ACA,acapulco
MZT,mazatlan
GUA,guatemala
VSA,villahermosa
BZE,ciudad de belice
DFW,dallas
ORD,chicago
PHX,phoenix
PHL,philadelphia
CLT,charlotte
YYZ,toronto
IAH,houston
YVR,vancouver
CDG,paris
ZCL,zacatecas
AMS,amsterdam
ATL,atlanta
CEN,ciudad obregon
MAD,madrid
SCL,santiago de chile
